																																																																																																
	Tissue  	Density (kg/m3)					Heat Capacity (J/kg/°C)					Thermal Conductivity (W/m/°C)					Heat Transfer Rate (ml/min/kg)					Heat Generation Rate (W/kg)					Dielectric Properties														Semcad		LF Conductivity 					Anisotropic LF Conductivity across					Anisotropic LF Conductivity along					Anisotropic LF Conductivity normal to surface					Magnetic Parameters	Magnetic Permittivity	Tissue Speed of Sound [m/s]					Tissue Dependent Parameter of the Non Linearity Prameter B/A					Attenuation Constant		1.5T- T1 [ms]					1.5T- T2 [ms]					3.0T- T1 [ms]					3.0T- T2 [ms]				
	Name	Average	Standard Deviation	Sample Size	Minimum	Maximum	Average	Standard Deviation	Number of Studies	Minimum	Maximum	Average	Standard Deviation	Number of Studies	Minimum	Maximum	Average	Standard Deviation	Number of Studies	Minimum	Maximum	Average	Standard Deviation	Number of Studies	Minimum	Maximum	ef	del1	tau1 (ps)	alf1	del2	tau2 (ns)	alf2	sig	del3	tau3 (µs)	alf3	del4	tau4 (ms)	alf4	Alternative Names	source	av	sd	n	min 	max	av	sd	n	min 	max	av	sd	n	min 	max	av	sd	n	min 	max	Magnetic Conductivity [S/m]	Relative Permeability	av	sd	n	min 	max	av	sd	n	min 	max	?0 [Np/m/MHz]	b	av	sd	n	min 	max	av	sd	n	min 	max	av	sd	n	min 	max	av	sd	n	min 	max
	Bone Marrow (Red)	1028.5	8.788842358	6	1027	1030	2666	0	1	2666	2666	0.279	0	1	0.279	0.279	135	49.49747468	2	100	170	2.090730583	0.07665621	2	1.54868932	2.632771845	2.5	9	14.469	0.2	80	15.915	0.1	0.1	10000	1591.549	0.1	2000000	15.915	0.1	"Ulna_marrow_left@Ulna_marrow_right@Ulna_red_marrow_left@Ulna_red_marrow_right@Radius_marrow_left@Radius_marrow_right@Radius_red_marrow_left@Radius_red_marrow_right@Humerus_marrow_left@Humerus_marrow_right@Humerus_red_marrow_left@Humerus_red_marrow_right@Tibia_marrow_left@Tibia_marrow_right@Tibia_red_marrow_left@Tibia_red_marrow_right@Fibula_marrow_left@Fibula_marrow_right@Fibula_red_marrow_left@Fibula_red_marrow_right@Femur_marrow_left@Femur_marrow_right@Femur_red_marrow_left@Femur_red_marrow_right@Metacarpus_marrow_left@Metacarpus_marrow_right@Foot_marrow_left@Foot_marrow_right@Carpalia_marrow_left@Carpalia_marrow_right@Skull_marrow@Mandible_marrow@Calcaneus_marrow_left@Calcaneus_marrow_right@Talus_marrow_left@Talus_marrow_right@Bone_Marrow@trabec_bone@Phalanx distalis_V_marrow_right@Phalanx distalis_V_marrow_left@Phalanx distalis_IV_marrow_right@Phalanx distalis_IV_marrow_left@Phalanx distalis_III_marrow_right@Phalanx distalis_III_marrow_left@Phalanx distalis_II_marrow_right@Phalanx distalis_II_marrow_left@Phalanx distalis_I_marrow_right@Phalanx distalis_I_marrow_left@Phalanx media_V_marrow_right@Phalanx media_V_marrow_left@Phalanx media_IV_marrow_right@Phalanx media_IV_marrow_left@Phalanx media_III_marrow_right@Phalanx media_III_marrow_left@Phalanx media_II_marrow_right@Phalanx media_II_marrow_left@Phalanx proximalis_V_marrow_right@Phalanx proximalis_V_marrow_left@Phalanx proximalis_IV_marrow_right@Phalanx proximalis_IV_marrow_left@Phalanx proximalis_III_marrow_right@Phalanx proximalis_III_marrow_left@Phalanx proximalis_II_marrow_right@Phalanx proximalis_II_marrow_left@Phalanx proximalis_I_marrow_right@Phalanx proximalis_I_marrow_left@Metacarpus_V_marrow_right@Metacarpus_V_marrow_left@Metacarpus_IV_marrow_right@Metacarpus_IV_marrow_left@Metacarpus_III_marrow_right@Metacarpus_III_marrow_left@Metacarpus_II_marrow_right@Metacarpus_II_marrow_left@Metacarpus_I_marrow_right@Metacarpus_I_marrow_left@Trapezoideum_marrow_right@Trapezoideum_marrow_left@Trapezium_marrow_right@Trapezium_marrow_left@Hamatum_marrow_right@Hamatum_marrow_left@Capitatum_marrow_right@Capitatum_marrow_left@Pisiforme_marrow_right@Pisiforme_marrow_left@Triquetrum_marrow_right@Triquetrum_marrow_left@Scaphoideum_marrow_right@Scaphoideum_marrow_left@Lunatum_marrow_left@hand_marrow_right@hand_marrow_left@Thorax_marrow@Carpalia_Metacarpalia_marrow_right@Carpalia_Metacarpalia_marrow_left@Ossa_coxae_marrow@Foot_right_marrow@Foot_left_marrow@BoneMarrow_CancellousBone@Marrow_red@Marrow (red)@Medulla, rubra (bracchium sinistrum)@proximalis_IV_marrow_right@proximalis_I_marrow_right@Bone Marrow@Bone Marrow (Tail)@Bone Marrow (Head)@skull_marrow@mandible_marrow@foot_marrow_left@foot_marrow_right@Marrow@Hand_marrow_right@Hand_marrow_left@Bone Marrow (Infiltrated)@Rib_and_vertebrae(red_marrow)@Skull(red_marrow)"	Bone Marrow (Red)	0.61977776	0.436798381	44	0.367985281	1.11995424																0	1	1450	0	1	1450	1450			0			12.5	1	549	0	1	549	549	49	0	1	49	49	586	0	1	586	586	49	0	1	49	49
	Bone Marrow (Yellow)	980	19.29303901	24	980	980	2065	0	1	2065	2065	0.192135101	0	1	0.192135101	0.192135101	30	0	1	30	30	0.464606796	0	1	0.464606796	0.464606796	2.5	3	7.958	0.2	25	15.915	0.1	0.001	5000	1591.549	0.1	2000000	15.915	0.1	BoneMarrow(NotInfiltrated)@Marrow (white)@Ulna_yellow_marrow_left@Ulna_yellow_marrow_right@Radius_yellow_marrow_left@Radius_yellow_marrow_right@Humerus_yellow_marrow_left@Humerus_yellow_marrow_right@Tibia_yellow_marrow_left@Tibia_yellow_marrow_right@Fibula_yellow_marrow_left@Fibula_yellow_marrow_right@Femur_yellow_marrow_left@Femur_yellow_marrow_right@	Bone Marrow (Yellow)	0.179789921	0.124273468	25	0.002471683	2.045																0	1	1371.91	0	1	1371.91	1371.91			0			4.3578	1.0861	288	0	1	288	288	165	0	1	165	165	365	0	1	365	365	133	0	1	133	133
	Brain	1045.5	6.363961031	9	1041	1050	3630	73.53910524	2	3578	3682	0.51325	0.02248518	4	0.489	0.537	558.6063123	98.81836782	43	411.5714286	976.2857143	11.36655303	0.201076177	43	8.374678849	19.86551727	4	40	7.958	0.1	700	15.915	0.15	0.04	200000	106.103	0.22	45000000	5.305	0	Fetus_brain	Cerebellum	0.374555902	0.179463187	91	0.066	0.716666667																0	1	1546.323529	20.16877318	17	1506	1565	6.716666667	0.288675135	3	6.55	7.05	6.8032	1.3			0					0					0					0		
	Brain (Grey Matter)	1044.5	7.778174593	9	1039	1050	3695.8	34.4267338	5	3664	3753	0.547	0.025455844	2	0.529	0.565	763.6666667	85.6757453	3	671	840	15.53913279	0.174333494	3	13.65354618	17.0923678	4	45	7.958	0.1	400	15.915	0.15	0.02	200000	106.103	0.22	45000000	5.305	0	"Brain_olfactory_Bulb@Cerebral_Hemisphere@Brain_Cerebral_Hemisphere@grey_matter@GreyMatter@Brain_grey_matter@Brain (Grey Matter, left Hemisphere)@Brain (Grey Matter, right Hemisphere)@bulbus_olfactorius@Cerebrum_grey_matter@Brain - Gray Matter@Cerebellum - Gray Matter@Amygdala@Caudate Nucleus@Globus Pallidus@Mammillary Body@Nucleus Accumbens@Putamen@Substantia Nigra@Cerebellum Gray Matter@Brain Gray Matter @Brain, Olfactory Bulb@Accumbens_left@Accumbens_right@Amygdala_left@Amygdala_right@Caudate_left@Caudate_right@Cerebellum_grey_matter_left@Cerebellum_grey_matter_right@Diencephalon_ventral_left@Diencephalon_ventral_right@Mammilary_body_left@Mammillary_body@Mammilary_body_right@Pallidum_left@Pallidum_right@Putamen_left@Putamen_right@Vermis_grey_matter@Accumbens_area@Cerebral_grey_matter@Pallidum@Septum_pellucidum@Substancia_nigra_subthalamic_nucleus_lgn_ventraldc@Bulbus_olfactorius"	Brain (Grey Matter)	0.419054882	0.230445828	214	0.06	0.83																0	1	1500		-1	1500	1500			0			1.2	1.21	1260.822581	178.4043137	8	1096.5	1531	109.4	52.9465342	4	77.9	217	1433.193548	186.021578	5	1275	1763	92.60196078	16.94478374	5	66	110
	Brain (White Matter)	1041	1.732050808	10	1040	1043	3582.8	78.30197954	5	3452	3664	0.481	0.029698485	2	0.46	0.502	212.3333333	23.58671943	3	190	237	4.320570749	0.047994391	3	3.866130812	4.822489486	4	32	7.958	0.1	100	7.958	0.1	0.02	40000	53.052	0.3	35000000	7.958	0.02	"white_matter@Baby_Brain_white_matter@WhiteMatter@Brain (White Matter, right Hemisphere)@Brain (White Matter, left Hemisphere)@Corpus Callosum@Corpus_callosum@corpus_callosum@Brain_white_matter@Cerebrum_white_matter@Brain - White Matter@Cerebellum - White Matter@Cerebral Peduncles@Cerebellum White Matter@Brain White Matter@Cerebellum_white_matter_left@Cerebellum_white_matter_right@Vermis_white_matter@Cerebral_white_matter"	Brain (White Matter)	0.347954393	0.194357593	194	0.06435	0.85244	0.219729786	0.102051612	29	0.117647	0.276	0.733291167	0.457712821	27	0.4	1.282051						0	1	1552.5	28.99137803	2	1532	1573			0			6.7082	1.09	999.8518519	443.2759015	7	612	1587	112.3125	82.92021719	4	66.2	282	866.9475806	95.25535286	5	812.25	1110	60.78125	13.08514147	4	49.5	79.6
	Breast Fat	911	51.42007205	23	812	961	2348.333333	371.7777114	6	1806	2973	0.209	0	1	0.209	0.209	47	0	1	47	47	0.727883981	0	1	0.727883981	0.727883981	2.5	3	17.68	0.1	15	63.66	0.1	0.01	50000	454.7	0.1	20000000	13.26	0	Breast@Breast_fat@BreastFat@breast	Breast Fat	0.022232277	0.001798999	1	0.022232277	0.022232277																0	1	1440.1875	21.91869446	16	1412	1490	10.0712	0.582635354	10	9.26	11.15	4.3578	1.0861	986.0736364	74.06133873	2	754.01	1009.28	55.42	0	1	55.42	55.42	886.845	0	1	886.845	886.845	53.66	7.94411E-15	1	53.66	53.66
	Breast Gland	1040.5	49.10651688	8	990	1092	2960	0	1	2960	2960	0.3345	0.01767767	2	0.322	0.347	150	0	1	150	150	2.323033981	0	1	2.323033981	2.323033981	4	55	7.958	0.1	2500	159.155	0.1	0.5	100000	159.155	0.2	40000000	15.915	0	None	Thyroid gland	0.398066534	0.229934792	28	0.398066534	0.398066534																0	1	1505	47.30750469	9	1430	1564	9.63	0	1	9.63	9.63	8.635	1.5			0					0					0					0		
	Bronchi	1101.5	53.28128971	22	1056	1147	3306	158.1486642	3	3171	3480	0.462	0.016370706	3	0.444	0.476	238.25	115.6119587	2	156.5	320	3.689752306	0.179047006	2	2.423698786	4.955805825	2.5	38	7.958	0.1	400	63.662	0.1	0.3	50000	15.915	0.2	1000000	15.915	0	Bronchus_wall@	Trachea	0.557625	0.094271617	18	0.477	0.805																0	1	1569.142857	5.756983337	7	1559	1575			0			7.02	1			0			36.4	0	1	36.4	36.4	968.3333333	186.5	2	844	1217	43.16666667	6.25	2	39	51.5
	Bronchi lumen	1.164091553	0.050782213	2	1.128183106	1.2	1003.666667	3.214550254	3	1000	1006	0.027381779	0.001782217	4	0.026	0.03	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Bronchi_lumen@Bronchi (Lumen)@Bronchus@Bronchus_lumen@bronchus@bronchus_lumen@	Bronchi lumen	0		1	0	0																0	1	343	0	1	343	343			0			0.039143947	2			0					0					0					0		
	Cartilage	1099.5	13.40397951	7	1099	1100	3568	78.06407625	4	3500	3664	0.487	0.026888659	3	0.47	0.518	35	0	1	35	35	0.542041262	0	1	0.542041262	0.542041262	4	38	13.263	0.15	2500	144.686	0.15	0.15	100000	318.31	0.1	40000000	15.915	0	cartilage_nose@Ear_cartilage@Capsule@Cartilage (ear left)@Cartilage (ear right)@Trachea (Cartilage)@Epiglottis@Cartilage (Tail)@Cartilage (Ears)@Cartilage (Head)@Cartilage (Legs)@Ear_cartilage_right@Ear_cartilage_light@ear_cartilage_right@ear_cartilage_light@Cartilage@Ear_cartilage_left@Ear - Auricular Cartilage (Pinna)@Nasal Septum (Cartilage)@Ear Auricular Cartilage (Pinna)@Sacrum_cartilaginous_bone@Long_bones_joint_and_femur_cartilage@Secondary_ossification_centers_in_long_bones	Cartilage	0.739259558	0.268724464	42	0.600084	1.433653434																0	1	1639.6	11.62196197	3	1627	1649.9			0			0.4397	1	1045.5	15.28434202	2	1031	1060	37.3375	3.271121974	3	34.225	42.1	1201	41.10960958	2	1162	1240	44.025	8.559397773	3	35	52.41666667
	Cerebellum	1045	7.071067812	2	1040	1050	3653	0	1	3653	3653	0.506	0	1	0.506	0.506	770	0	1	770	770	15.66800382	0	1	15.66800382	15.66800382	4	40	7.958	0.1	700	15.915	0.15	0.04	200000	106.103	0.22	45000000	5.305	0	"Cerebral Hemisphere@Parafloculus@Brain, Parafloculus@Cerebellum@Cerebellum_cortex@Vermis"	Cerebellum	0.576612444	0.188623816	33	0.48	0.646504																0	1	1537	0	1	1537	1537			0			3.9117	1.6096			0					0			1081	0	1	1081	1081	76	0	1	76	76
	Cerebrospinal Fluid	1007	0.5	2	1007	1007	4095.5	197.1826564	4	3800	4200	0.573333333	0.064291005	3	0.5	0.62	0	0	1	0	0	0	0	1	0	0	4	65	7.958	0.1	40	1.592	0	2	0	159.155	0	0	15.915	0	"Brain_Cavity@csf@Fetus_amniotic_fluid@amniotic_fluid@Baby_Cerebrospinal_fluid@CerebrospinalFluid@Cerebrospinal_fluid@Cerebrospinal Fluid@Cisterna Cerebellomedullaris@Cranial Fossa@Ventricles (Brain)@Subarachnoidal Cavity@Brain, Cavity@Cerebral Spinal Fluid@cerebrospinal_fluid@CSF - General@CSF - Ventricles@CSF General@CSF Ventricles@ Ear - Cochlea@Ear Cochlea@Ear Semicircular Canals@Ear - Semicircular Canals@Cochlea@Cochlea_Ductus_semicirculares@Cochlea_ductus_semicirculares@Cerebro Spinal FluidCSF_3rd_ventricle@CSF_4th_ventricle@CSF_brain@CSF_lateral_ventricle_left@CSF_lateral_ventricle_right@CSF_spine@CSF(brain)@CSF(spinal_cord)"	Cerebrospinal Fluid	1.87899971	0.685074315	100	1.13	3.186944																0	1	1504.5	3.535533906	2	1502	1507			0			0.1	1	4627.25	788.0705076	2	4070	5184.5			0					0					0		
	Cervix	1104.5	78.71149852	6	1052	1157	3676	0	1	3676	3676	0.5265	0.02192031	2	0.511	0.542	700	0	1	700	700	10.84082524	0	1	10.84082524	10.84082524	4	45	7.958	0.1	200	15.915	0.1	0.3	150000	106.103	0.18	40000000	1.592	0	None	Cervix	0.337908911	0.100710636	1	0.337908911	0.337908911																0	1	1629	5.656854249	2	1625	1633			0			8.1157	1	986.0736364	74.06133873	2	754.01	1009.28			0					0					0		
	Commissura Anterior	1041	1.732050808	10	1040	1043	3582.8	78.30197954	5	3452	3664	0.481	0.029698485	2	0.46	0.502	212.3333333	23.58671943	3	190	237	4.320570749	0.047994391	3	3.866130812	4.822489486	4	32	7.958	0.1	100	7.958	0.1	0.02	40000	53.052	0.3	35000000	7.958	0.02	Commissura_anterior@commissura_anterior@Commissura (Anterior)	Brain (White Matter)	0.347954393	0.194357593	194	0.06435	0.85244	0.219729786	0.102051612	29	0.117647	0.276	0.733291167	0.457712821	27	0.4	1.282051						0	1	1552.5	28.99137803	2	1532	1573			0			6.7082	1.09	999.8518519	443.2759015	7	612	1587	112.3125	82.92021719	4	66.2	282	866.9475806	95.25535286	5	812.25	1110	60.78125	13.08514147	4	49.5	79.6
	Commissura Posterior	1041	1.732050808	10	1040	1043	3582.8	78.30197954	5	3452	3664	0.481	0.029698485	2	0.46	0.502	212.3333333	23.58671943	3	190	237	4.320570749	0.047994391	3	3.866130812	4.822489486	4	32	7.958	0.1	100	7.958	0.1	0.02	40000	53.052	0.3	35000000	7.958	0.02	Commissura_posterior@commisura_posterior@Commissura (Posterior)	Brain (White Matter)	0.347954393	0.194357593	194	0.06435	0.85244	0.219729786	0.102051612	29	0.117647	0.276	0.733291167	0.457712821	27	0.4	1.282051						0	1	1552.5	28.99137803	2	1532	1573			0			6.7082	1.09	999.8518519	443.2759015	7	612	1587	112.3125	82.92021719	4	66.2	282	866.9475806	95.25535286	5	812.25	1110	60.78125	13.08514147	4	49.5	79.6
	Connective Tissue	1026.50	0	2	961.00	1067.50	2372.416667	0	2	1312.833333	3432	0.3945	0	1	0.3945	0.3945	37.2	0	1	37.2	37.2	0.576112427	0	1	0.576112427	0.576112427	4	42	12.243	0.1	60	6.366	0.1	0.25	60000	318.31	0.22	20000000	1.326	0	Tail_Connective_Tissue@Connective_tissue@Connective Tissue@Connective Tissue (Arms)@Connective Tissue (Hands)@Connective Tissue (Ears)@Connective Tissue (Head)@Connective Tissue (Legs)@Connective Tissue (Tail)	Tendon\Ligament	0.079195857	0.023344569	14	0.079195857	0.079195857																0	1	1545	0	2	1545	1545			0			14.506	1.1719			0					0					0					0		
	Diaphragm	1090.4	55.14127697	14	1041	1178	3421.2	460.1594289	5	2624	3799	0.49496875	0.042114308	8	0.4225	0.56	99	0	1	99	99	2.441766828	0	1	2.441766828	2.441766828	4	50	7.234	0.1	7000	353.678	0.1	0.2	1200000	318.31	0.1	25000000	2.274	0	None@Diaphragm	Muscles	0.461007526	0.243781754	24	0.1	0.726	0.13188759	0.095260419	55	0.043478261	0.293400666	0.415109444	0.261076443	55	0.138810944	5.37						0	1	1588.430556	21.56469408	24	1545	1631	7.166	0.600441504	5	6.5	7.8	7.1088	1.0827	981.4705882	126.8551672	4	781.5	1130	36.03571429	7.051634523	3	27	44			0					0		
	Ductus Deferens	1101.5	53.28128971	22	1056	1147	3306	158.1486642	3	3171	3480	0.462	0.016370706	3	0.444	0.476	188	0	1	188	188	2.911535922	0	1	2.911535922	2.911535922	4	40	8.842	0.1	50	3.183	0.1	0.25	100000	159.155	0.2	10000000	1.592	0	Ductus_deferens@Spermatic Duct@Spermatic_Duct@duct	Blood Vessel Wall	0.231971605	0.013599884	1	0.231971605	0.231971605																0	1	1569.142857	5.756983337	7	1559	1575			0			7.02	1			0			36.4	0	1	36.4	36.4	968.3333333	186.5	2	844	1217	43.16666667	6.25	2	39	51.5
	Dura	1174	0	1	1174	1174	3364	0	1	3364	3364	0.44	0	1	0.44	0.44	380	0	1	380	380	5.885019417	0	1	5.885019417	5.885019417	4	40	7.958	0.15	200	7.958	0.1	0.5	10000	159.155	0.2	1000000	15.915	0	None@Dura_mater@Dura@Meninges_dura@Meninges_spine@Meninges(brain)@Meninges(spinal_cord)	Dura	0.06		1	0.0006	0.06																0	1	1500		-1	1500	1500			0			13.402062	1	0		0					0					0					0		
	Epididymis	1082	46.96490046	7	1044	1120	3778	0	1	3778	3778	0.515	0	1	0.515	0.515	199.8095238	24.41366853	3	185.7142857	228	3.094428756	0.037809188	3	2.876137309	3.53101165	4	55	7.958	0.1	5000	159.155	0.1	0.4	100000	159.155	0.2	40000000	15.915	0	None@Epididymis	Testis	0.366066667	0.006610261	1	0.366066667	0.366066667																0	1	1595	0	1	1595	1595			0			2.4237	1.5613	0		0					0					0					0		
	Esophagus	1040	0	1	1040	1040	3500	0	1	3500	3500	0.527	0	1	0.527	0.527	190	0	1	190	190	2.942509709	0	1	2.942509709	2.942509709	4	60	7.958	0.1	2000	79.577	0.1	0.5	100000	159.155	0.2	40000000	15.915	0	"oesophagus@Baby_Esophagus@Oesophagus (Head)@Esophagus_wall@Esophagus
"	Stomach	0.163535918	0.053622755	1	0.163535918	0.163535918																0	1	1500		-1	1500	1500			0			5.7429	1	0		0					0					0					0		
	Esophagus Lumen	1.164091553	0.050782213	2	1.128183106	1.2	1003.666667	3.214550254	3	1000	1006	0.027381779	0.001782217	4	0.026	0.03	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Esophagus_lumen@Esophagus (Lumen)@	Esophagus Lumen	0		1	0	0																0	1	343	0	1	343	343			0			0.039143947	2	0		0					0					0					0		
	Extracellular Fluids	1010.75	1.423390904	4	1010	1011.5	3997	0	1	3997	3997	0.6045	0.006363961	2	0.6	0.609	0	0	1	0	0	0	0	0	0	0	4	65	7.958	0.1	40	1.592	0	2	0	159.155	0	0	15.915	0	None	Cerebrospinal Fluid	2.679137333	0.729046981	52	1.103081459	4.055446541																0	0	1554.2	0	1	1554.2	1554.2			0			0.1	1	4627.25	788.0705076	2	4070	5184.5			0					0					0		
	Eye (Aqueous Humor)	993.7770168	4.581022553	4	990.5364612	997.0175724	3997	0	1	3997	3997	0.578	0	1	0.578	0.578	0	0	0	0	0	0	0	0	0	0	4	65	7.958	0.1	40	1.592	0	2	0	159.155	0	0	15.915	0	"Eye_aqueous_humour@Eye_Aqueous_Humor@Eye, Aqueous Humor@Eye - Aqueous@Eye Aqueous"	Cerebrospinal Fluid	1.87899971	0.685074315	100	1.13	3.186944																0	1	1537.05	4.171930009	2	1534.1	1540			0			0.1	1	4627.25	788.0705076	2	4070	5184.5			0					0					0		
	Eye (Choroid)	1049.75	19.17463602	584	1025	1060	3617	301.4415366	3	3300	3900	0.516857143	0.02545865	7	0.488	0.561	5950	0	1	5950	5950	92.14701456	0	1	92.14701456	92.14701456	4	56	8.377	0.1	5200	132.629	0.1	0.7	0	159.155	0.2	0	15.915	0	@Eye_choroid_left@Eye_choroid_right	Blood	0.662459736	0.107254247	33	0.433087917	0.945572828																0	1	1530.8	0	1	1530.8	1530.8	6.1125	0.131497782	4	6	6.3	2.3676	1.0498	1414.806452	103.5999258	6	1200	1547.5	171.5934211	67.25615432	6	108.95	327	1953.571429	188.4392359	8	1355	2085.5	275	0	1	275	275
	Eye (Ciliary Body)	1090.4	55.14127697	14	1041	1178	3421.2	460.1594289	5	2624	3799	0.49496875	0.042114308	8	0.4225	0.56	3800	0	1	3800	3800	93.72438332	0	1	93.72438332	93.72438332	4	50	7.234	0.1	7000	353.678	0.1	0.2	1200000	318.31	0.1	25000000	2.274	0	Eye_ciliary_muscles_left@Eye_ciliary_muscles_right@	Muscle	0.461007526	0.243781754	24	0.1	0.726																0	1	1554	0	1	1554	1554	7.166	0.600441504	5	6.5	7.8	7.1088	1.0827	981.4705882	126.8551672	4	781.5	1130	36.03571429	7.051634523	3	27	44	1232.941176	255.0050173	3	898	1420	37.20588235	9.803473274	3	29	50
	Eye (Cornea)	1061.64554	15.6842448	4	1040	1076	3615	0	1	3615	3615	0.5385	0.058689863	2	0.497	0.58	0	0	1	0	0	0	0	1	0	0	4	48	7.958	0.1	4000	159.155	0.05	0.4	100000	15.915	0.2	40000000	15.915	0	"Cornea@Eye, Cornea@Eye_Cornea@Eye_cornea@cornea@Eye - Cornea@Eye Cornea@Eye_cornea_left@Eye_cornea_right"	Eye (Cornea)	0.62		1	0.62	0.62																0	1	1565.766667	13.72090862	3	1550	1575			0			0.368	1.5			0					0					0					0		
	Eye (Iris)	1090.4	55.14127697	14	1041	1178	3421.2	460.1594289	5	2624	3799	0.49496875	0.042114308	8	0.4225	0.56	1632.310124	1212.956654	2	774.6202488	2490	40.25980521	29.91674064	2	19.10547503	61.41413538	4	50	7.234	0.1	7000	353.678	0.1	0.2	1200000	318.31	0.1	25000000	2.274	0	None	Muscle	0.461007526	0.243781754	24	0.1	0.726																0	1	1542	0	1	1542	1542	7.166	0.600441504	5	6.5	7.8	7.1088	1.0827	981.4705882	126.8551672	4	781.5	1130	36.03571429	7.051634523	3	27	44	1232.941176	255.0050173	3	898	1420	37.20588235	9.803473274	3	29	50
	Eye (Lens)	1075.5	24.33388627	3	1061	1090	3132.8	296.9498274	5	3000	3664	0.433333333	0.057735027	3	0.4	0.5	0	0	1	0	0	0	0	1	0	0	3	32	8.842	0.1	100	10.61	0.2	0.2	1000	15.915	0.2	5000	15.915	0	"Baby_Eye_lense@Baby_Eye_lens@Lens@Eye_lens@Lens (left)@Lens (right)@Eye, Lens@Eye - Lens@Eye Lens@Eye_lens_left@Eye_lens_right"	Eye (Lens)	0.345333333		1	0.345333333	0.345333333																0	1	1643.324242	28.517591	11	1585	1673			0			0.66667	1			0					0					0					0		
	Eye (Retina)	1036.28	2.20	56	1036.28	1036.28	3695.8	34.4267338	5	3664	3753	0.547	0.025455844	2	0.529	0.565	240.3759028	105.4144584	3	139.7476341	350	4.891182548	2.144979398	3	2.84359281	7.121819916	4	45	7.958	0.1	400	15.915	0.15	0.02	200000	106.103	0.22	45000000	5.305	0	None	Brain (Grey Matter)	0.419054882	0.230445828	214	0.06	0.83																0	1	1576.5	0	1	1576.5	1576.5			0			1.2	1.21	1260.822581	178.4043137	8	1096.5	1531	109.4	52.9465342	4	77.9	217	1433.193548	186.021578	5	1275	1763	92.60196078	16.94478374	5	66	110
	Eye (Sclera)	1032	0	1	1032	1032	4200	0	1	4200	4200	0.58	0	1	0.58	0.58	380	0	1	380	380	5.885019417	0	1	5.885019417	5.885019417	4	50	7.958	0.1	4000	159.155	0.1	0.5	100000	159.155	0.2	5000000	15.915	0	"EyeTissue_Sclera@Eye_Sclera@Eye, Tissue/Sclera@Eye_sclera@Eye - Retina/Choroid/Sclera@Eye Retina_Choroid_Sclera@Eye Tissues (Sclera)@Eye_sclera_left@Eye_sclera_right"	Eye (Sclera)	0.62		1	0.62	0.62																0	1	1630.4	23.00652081	5	1597	1656			0			1.174	1.56			0					0					0					0		
	Eye (Vitreous Humor)	1004.5	5.196272703	3	1000	1009	4047	230.2911201	5	3664	4200	0.5946	0.0069857	5	0.586	0.603	0	0	1	0	0	0	0	1	0	0	4	65	7.234	0	30	159.155	0.1	1.5	0	159.155	0	0	15.915	0	"Fetus_eye@Baby_Eye_vitreous_humor@Eye_vitreous_humor@Eyeball, left@Eyeball, right@Eye, Vitreous Humor@eye_vitreous_humor@Eye - Vitreous@Eye (Vitrous Humor)@Eye Vitreous @Vitreous Humor@Eye_vitreous_body_left@Eye_vitreous_body_right@Eye_vitreous_humour"	Eye (Vitrous Humor)	2.164857	1.383225723	161	1.55	2.950624																0	1	1525.836364	12.55963954	12	1495	1544			0			5	1			0					0					0					0		
	Eye Lens (Cortex)	1075.5	24.33388627	3	1061	1090	3132.8	296.9498274	5	3000	3664	0.433333333	0.057735027	3	0.4	0.5	0	0	1	0	0	0	0	1	0	0	4	42	7.958	0.1	1500	79.577	0.1	0.3	200000	159.155	0.1	40000000	15.915	0	LensCortex@Lens Cortex	Eye Lens (Cortex)	0.34		1	0.34	0.34																0	1	1643.324242	28.517591	11	1585	1673			0			0.66667	1			0					0					0					0		
	Eye Lens (Nucleus)	1075.5	24.33388627	3	1061	1090	3132.8	296.9498274	5	3000	3664	0.433333333	0.057735027	3	0.4	0.5	0	0	1	0	0	0	0	1	0	0	3	32	8.842	0.1	100	10.61	0.2	0.2	1000	15.915	0.2	5000	15.915	0	LensNucleus	Eye (Lens)	0.19		1	0.19	0.19																0	1	1643.324242	28.517591	11	1585	1673			0			0.66667	1			0					0					0					0		
	Fat	911	51.42007205	23	812	961	2348.333333	371.7777114	6	1806	2973	0.21145	0.021131358	8	0.18	0.2416	32.70933333	12.85635337	12	19.832	63.248	0.506565952	0.019910497	12	0.307136066	0.979515021	2.5	9	7.958	0.2	35	15.915	0.1	0.035	33000	159.155	0.05	10000000	15.915	0.01	Fetus_fat@Baby_Fat@Fat@Greater Omentum@Fat (Head)@Adipose Tissue@Fat_intrabdominal@Fat_between_muscles@Fat_intra_abdominal_chest	Fat (Average Infiltrated)	0.077621273	0.093082005	91	0.023986634	0.215217391																0	1	1440.1875	21.91869446	16	1412	1490	10.0712	0.582635354	10	9.26	11.15	4.3578	1.0861			0					0					0					0		
