lambda,mu_a_water,mu_a_skull
204706.2043798054,156.47582030070498,46.94274609021149
209523.15055793285,155.42891623549892,46.62867487064968
214453.44440206463,153.51948268677734,46.0558448060332
219499.75309861137,150.20634724429064,45.06190417328719
224664.80659560533,144.41314740237232,43.323944220711695
229951.39907954715,133.93060815737363,40.179182447212085
235362.39048699985,114.32949318995172,34.29884795698551
240900.70805175623,79.33181477425796,23.79954443227739
246569.3478884132,36.701548155309005,11.0104644465927
252371.37661320425,31.103677004613264,9.33110310138398
258309.93300297656,64.51470109085601,19.3544103272568
264388.2296932058,96.32722054844604,28.89816616453381
270609.5549159615,116.61404533855688,34.98421360156706
276977.274278775,128.9303122815546,38.67909368446637
283494.832585361,136.66617179473403,40.99985153842021
290165.7556991881,141.7621161790196,42.52863485370588
296993.65245089337,145.2697788217524,43.58093364652572
303982.21659058664,147.77443295651457,44.33232988695437
311135.22878609446,149.6164277508898,44.88492832526694
318456.5586682188,151.00270758515114,45.30081227554534
325950.1669241287,152.0643063764042,45.61929191292126
333620.10744001187,152.88716421124064,45.86614926337219
341470.5294941385,153.52932660027213,46.05879798008164
349505.6800015366,154.03090368426797,46.20927110528039
357729.90581148706,154.42001171205047,46.32600351361514
366147.656059074,154.71638042973603,46.414914128920806
374763.4845720767,154.93352639794668,46.480057919384
383582.0523344978,155.0799690584976,46.52399071754928
392608.13000805455,155.15971388214072,46.547914164642215
401846.6005130093,155.1720438078916,46.55161314236748
411302.4616697304,155.11047674535848,46.53314302360754
420980.8289024044,154.960487665635,46.48814629969049
430886.9380063765,154.69513259457497,46.40853977837249
441026.1479806092,154.26678308573315,46.280034925719946
451403.9439267844,153.5911614441616,46.07734843324848
462025.9400166317,152.5152014126132,45.75456042378397
472897.8825290815,150.7488340720467,45.224650221614006
484025.6529588768,147.71140711294154,44.31342213388246
495415.27119834186,142.16687958435276,42.65006387530583
507072.89879402233,131.35268616101422,39.40580584830426
519004.84227994754,109.40143366087968,32.8204300982639
531217.5565893368,70.37022621664188,21.111067864992563
543717.6485465881,38.153488513942776,11.446046554182832
556511.8804414253,50.24408739114686,15.073226217344056
569607.1736871611,78.8041571473884,23.64124714421652
583010.6125650352,99.99397815579351,29.998193446738053
596729.4480566682,113.0939666772304,33.92819000316912
610771.1017666826,121.18096848878848,36.35429054663654
625143.1699376472,126.3505031431403,37.905150942942086
639853.4275594769,129.77199913891846,38.931599741675534
654909.8325755465,132.0953870649103,39.62861611947309
670320.5301877683,133.69551519224026,40.10865455767208
686093.8572629839,134.79838685382433,40.4395160561473
702238.346843027,135.54617819628675,40.66385345888602
718762.7327609252,136.03181770870825,40.80954531261247
735675.9543657269,136.31813024510132,40.89543907353039
752987.1613584943,136.44886783693272,40.93466035107981
770705.7187421056,136.4553067274234,40.93659201822702
788841.2118875313,136.3603284258213,40.90809852774639
807403.4517193116,136.1810222958198,40.854306688745936
826402.480023067,135.93039121476872,40.77911736443061
845848.5748779,135.61849714473402,40.68554914342021
865752.2562166124,135.2532476839408,40.57597430518224
886124.2915167756,134.84094696261667,40.452284088785
906975.7016257164,134.38668849067153,40.31600654720146
928317.7667225566,133.8946399073189,40.168391972195664
950162.0324205589,133.36825246002996,40.010475738008985
972520.3160130708,132.81041720383973,39.84312516115192
995404.712866423,132.22358291404382,39.66707487421314
1018827.6029632773,131.60984610119797,39.48295383035939
1042801.657599937,130.9710204356721,39.29130613070163
1067339.8462412627,130.3086907932985,39.09260723798955
1092455.4435368676,129.62425568726596,38.88727670617978
1118162.036502445,128.9189608393666,38.67568825180998
1144473.531870044,128.19392592646284,38.45817777793885
1171404.1636113347,127.45016602360424,38.23504980708127
1198968.500637882,126.68860889210454,38.00658266763136
1227181.4546826354,125.91010898738983,37.77303269621695
1256058.2883668495,125.1154588589702,37.53463765769106
1285614.623456864,124.30539846359083,37.291619539077246
1315866.4493151368,123.4806227985679,37.044186839570365
1346830.1315501658,122.6417881755962,36.79253645267886
1378522.4208699393,121.7895173888649,36.53685521665947
1410960.4621437292,120.92440397999438,36.27732119399831
1444161.8036770944,120.04701576238853,36.01410472871655
1478144.4067051553,119.15789773631832,35.747369320895494
1512926.6551092584,118.25757450139074,35.477272350417216
1548527.3653622558,117.34655225347666,35.203965676043
1584965.796707834,116.42532043753376,34.927596131260124
1622261.6615793747,115.49435311519444,34.64830593455833
1660435.1362639507,114.5541100958373,34.36623302875119
1699506.8718172878,113.60503787160472,34.08151136148142
1739498.005235567,112.6475703900938,33.79427111702814
1780430.1708900789,111.68212969291116,33.50463890787335
1822325.5122309776,110.7091264437195,33.21273793311585
1865206.69376644,109.72896036562112,32.918688109686336
1909096.9133236697,108.7420206045783,32.62260618137349
1954019.9145984496,107.7486860329413,32.324605809882385
2000000.0,106.74932550495224,32.02479765148567
2047062.0437980536,97.01500858643709,29.104502575931125
2095231.5055793284,96.36592806600933,28.9097784198028
2144534.4440206466,95.18207926580195,28.554623779740584
2194997.530986114,93.12793529146019,27.938380587438058
2246648.0659560533,89.53615138947083,26.86084541684125
2299513.990795472,83.03697705757165,24.91109311727149
2353623.9048699983,70.88428577777006,21.265285733331016
2409007.0805175626,49.18572516003994,14.755717548011981
2465693.478884132,22.754959856291585,6.8264879568874735
2523713.7661320423,19.284279742860225,5.785283922858067
2583099.3300297656,39.99911467633073,11.999734402899216
2643882.296932058,59.72287674003654,17.91686302201096
2706095.5491596158,72.30070810990526,21.690212432971578
2769772.742787749,79.93679361456384,23.98103808436915
2834948.32585361,84.7330265127351,25.41990795382053
2901657.5569918808,87.89251203099217,26.367753609297647
2969936.524508933,90.06726286948648,27.02017886084595
3039822.165905867,91.62014843303903,27.48604452991171
3111352.287860945,92.76218520555169,27.828655561665503
3184565.5866821883,93.6216787027937,28.08650361083811
3259501.6692412877,94.2798699533706,28.283960986011184
3336201.0744001186,94.7900418109692,28.43701254329076
3414705.294941385,95.18818249216872,28.55645474765062
3495056.800015366,95.49916028424614,28.649748085273846
3577299.058114871,95.74040726147129,28.72212217844139
3661476.56059074,95.92415586643634,28.7772467599309
3747634.845720767,96.05878636672693,28.81763591001808
3835820.523344978,96.14958081626851,28.844874244880554
3926081.300080545,96.19902260692724,28.859706782078174
4018466.005130092,96.20666716089279,28.862000148267835
4113024.616697304,96.16849558212226,28.850548674636677
4209808.289024044,96.07550235269369,28.822650705808105
4308869.380063765,95.91098220863648,28.773294662590946
4410261.479806092,95.64540551315456,28.693621653946366
4514039.439267844,95.2265200953802,28.56795602861406
4620259.400166317,94.55942487582018,28.36782746274606
4728978.825290815,93.46427712466895,28.039283137400684
4840256.529588767,91.58107241002375,27.474321723007126
4954152.711983418,88.14346534229871,26.443039602689616
5070728.987940224,81.43866541982881,24.431599625948643
5190048.422799476,67.8288888697454,20.348666660923616
5312175.565893369,43.629540254317966,13.088862076295388
5437176.4854658805,23.65516287864452,7.096548863593356
5565118.804414253,31.151334182511054,9.345400254753315
5696071.73687161,48.8585774313808,14.657573229414243
5830106.125650352,61.996266456591975,18.598879936977593
5967294.480566681,70.11825933988284,21.035477801964856
6107711.017666826,75.13220046304886,22.539660138914655
6251431.699376471,78.33731194874699,23.501193584624094
6398534.27559477,80.45863946612944,24.13759183983883
6549098.325755464,81.8991399802444,24.569741994073315
6703205.301877682,82.89121941918896,24.86736582575669
6860938.572629839,83.57499984937108,25.072499954811324
7022383.46843027,84.03863048169778,25.21158914450933
7187627.327609252,84.33972697939912,25.301918093819733
7356759.543657269,84.51724075196282,25.35517222558884
