,lambda,mu_a_water,mu_a_skull
197,9200.0,567.0,170.1
198,9400.0,579.0,173.7
199,9600.0,594.0,178.2
200,9800.0,614.0,184.2
201,10000.0,638.0,191.4
202,10500.0,792.0,237.6
203,11000.0,1106.0,331.8
204,11500.0,1552.0,465.59999999999997
205,12000.0,2084.0,625.1999999999999
206,12500.0,2604.0,781.1999999999999
207,13000.0,2948.0,884.4
208,13500.0,3193.0,957.9
209,14000.0,3321.0,996.3
210,14500.0,3363.0,1008.9
211,15000.0,3368.0,1010.4
212,15500.0,3356.0,1006.8
213,16000.0,3314.0,994.1999999999999
214,16500.0,3260.0,978.0
215,17000.0,3171.0,951.3
216,17500.0,3081.0,924.3
217,18000.0,2974.0,892.1999999999999
218,18500.0,2860.0,858.0
219,19000.0,2738.0,821.4
220,19500.0,2604.0,781.1999999999999
221,20000.0,2469.0,740.6999999999999
222,30000.0,1374.0,412.2
223,38000.0,1194.0,358.2
224,50000.0,1292.0,387.59999999999997
225,60000.0,1229.0,368.7
226,70000.0,1034.0,310.2
227,80000.0,859.0,257.7
228,90000.0,748.0,224.4
229,100000.0,669.0,200.7
230,200000.0,317.0,95.1
231,204706.2043798054,156.47582030070498,46.94274609021149
232,209523.15055793285,155.42891623549892,46.628674870649675
233,214453.44440206463,153.51948268677734,46.0558448060332
234,219499.75309861137,150.20634724429064,45.06190417328719
235,224664.80659560533,144.41314740237232,43.323944220711695
236,229951.39907954715,133.93060815737363,40.179182447212085
237,235362.39048699985,114.32949318995172,34.29884795698551
238,240900.70805175623,79.33181477425796,23.79954443227739
239,246569.3478884132,36.701548155309005,11.010464446592701
240,252371.37661320425,31.103677004613264,9.33110310138398
241,258309.93300297656,64.51470109085601,19.3544103272568
242,264388.2296932058,96.32722054844604,28.89816616453381
243,270609.5549159615,116.61404533855688,34.98421360156706
244,276977.274278775,128.9303122815546,38.67909368446637
245,283494.832585361,136.66617179473403,40.99985153842021
246,290165.7556991881,141.7621161790196,42.52863485370588
247,296993.65245089337,145.2697788217524,43.580933646525715
248,303982.21659058664,147.77443295651457,44.33232988695437
249,311135.22878609446,149.6164277508898,44.88492832526694
250,318456.5586682188,151.00270758515114,45.30081227554534
251,325950.1669241287,152.0643063764042,45.61929191292126
252,333620.10744001187,152.88716421124064,45.86614926337219
253,341470.5294941385,153.52932660027213,46.058797980081636
254,349505.6800015366,154.03090368426797,46.209271105280386
255,357729.90581148706,154.42001171205047,46.32600351361514
256,366147.656059074,154.71638042973603,46.414914128920806
257,374763.4845720767,154.93352639794668,46.480057919384
258,383582.0523344978,155.0799690584976,46.523990717549275
259,392608.13000805455,155.15971388214072,46.547914164642215
260,401846.6005130093,155.1720438078916,46.55161314236748
261,411302.4616697304,155.11047674535848,46.53314302360754
262,420980.8289024044,154.960487665635,46.48814629969049
263,430886.9380063765,154.69513259457497,46.40853977837249
264,441026.1479806092,154.26678308573315,46.280034925719946
265,451403.9439267844,153.5911614441616,46.07734843324848
